contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,symbol,expiry,timestamp
AAPL251114C00325000,2025-11-05 14:30:15+00:00,325.0,0.01,0.0,0.13,0.0,0.0,1.0,325,0.6210975390625001,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00330000,2025-11-05 20:56:31+00:00,330.0,0.01,0.0,0.01,0.0,0.0,3.0,231,0.51562984375,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00335000,2025-11-04 14:30:00+00:00,335.0,0.03,0.0,0.18,0.0,0.0,3.0,10,0.73633076171875,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00340000,2025-11-03 15:56:16+00:00,340.0,0.01,0.0,0.01,0.0,0.0,9.0,15,0.57812921875,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00345000,2025-11-03 14:30:00+00:00,345.0,0.03,0.0,0.01,0.0,0.0,1.0,52,0.6250037500000001,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00350000,2025-11-07 18:37:51+00:00,350.0,0.01,0.0,0.01,-0.01,-50.0,1.0,68,0.6562534375000001,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00355000,2025-10-31 19:21:27+00:00,355.0,0.01,0.0,0.01,0.0,0.0,751.0,752,0.6875031250000001,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00360000,2025-10-31 19:21:35+00:00,360.0,0.01,0.0,0.16,0.0,0.0,1.0,1,0.9257819921875,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00365000,2025-10-30 15:33:09+00:00,365.0,0.02,0.0,0.01,0.0,0.0,,40,0.7500025,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00370000,2025-10-30 19:59:07+00:00,370.0,0.01,0.0,0.2,0.0,0.0,,50,1.0253954980468751,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00385000,2025-11-07 20:32:26+00:00,385.0,0.01,0.0,0.02,0.0,0.0,11.0,14,0.9062509375,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114C00395000,2025-10-31 14:23:31+00:00,395.0,0.02,0.0,0.01,0.0,0.0,1.0,2,0.9062509375,False,REGULAR,USD,call,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00110000,2025-10-31 13:30:10+00:00,110.0,0.03,0.0,0.21,0.0,0.0,2.0,2,2.7382844042968753,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00125000,2025-10-15 16:08:34+00:00,125.0,0.02,0.0,0.13,0.0,0.0,,0,2.2500043749999996,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00135000,2025-10-20 13:33:36+00:00,135.0,0.02,0.0,0.14,0.0,0.0,1.0,1,2.0546923632812497,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00140000,2025-10-24 15:16:58+00:00,140.0,0.02,0.0,0.14,0.0,0.0,392.0,392,1.953125234375,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00145000,2025-10-14 17:24:18+00:00,145.0,0.03,0.0,0.15,0.0,0.0,,4,1.8671881640625,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00150000,2025-10-30 18:02:03+00:00,150.0,0.01,0.0,0.15,0.0,0.0,15.0,56,1.7734386328124998,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00155000,2025-10-28 13:50:51+00:00,155.0,0.01,0.0,0.08,0.0,0.0,1.0,10,1.5703146484375,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00160000,2025-10-28 18:25:23+00:00,160.0,0.01,0.0,0.16,0.0,0.0,9.0,234,1.6015644921874999,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00165000,2025-10-27 19:28:25+00:00,165.0,0.02,0.0,0.16,0.0,0.0,4.0,25,1.5156274218749999,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00170000,2025-10-31 18:34:24+00:00,170.0,0.01,0.0,0.17,0.0,0.0,174.0,302,1.44140904296875,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00175000,2025-10-31 18:34:11+00:00,175.0,0.01,0.0,0.01,0.0,0.0,244.0,377,1.0312548437500002,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00180000,2025-11-03 18:13:30+00:00,180.0,0.01,0.0,0.01,0.0,0.0,1.0,563,0.9687503125,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00185000,2025-11-07 16:39:49+00:00,185.0,0.01,0.0,0.01,0.0,0.0,10.0,110,0.9062509375,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00190000,2025-11-07 14:42:14+00:00,190.0,0.01,0.0,0.01,0.0,0.0,500.0,109,0.8437515624999999,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00195000,2025-11-07 20:11:14+00:00,195.0,0.01,0.0,0.01,-0.01,-50.0,101.0,518,0.7812521875,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00200000,2025-11-07 18:55:44+00:00,200.0,0.01,0.01,0.05,0.0,0.0,46.0,802,0.85937640625,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
AAPL251114P00205000,2025-11-07 18:14:38+00:00,205.0,0.02,0.0,0.02,0.01,100.0,5.0,230,0.7187528125,False,REGULAR,USD,put,AAPL,2025-11-14,2025-11-09 05:50:24.463177
